English,Bangla,Marma
This is my brother,এই আমার ভাই,ইচা আকোসে/ন্ঙ্যিং
Who built that?,ঐটা কে নির্মাণ করেছিলো?,ইচা আসু লেই?
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু ম্রাং য়াসু ছুই তাউরে খুংব আথাউমা
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,য়াসু ম্যা ঙা
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অউমিংরে অ্কংকং
I am not a teacher.,আমি একজন শিক্ষক নই,ত্যউ চা খ্যাসা ম্হ
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু ম্রাং ছুই য়াসু আথাউমা খুংব তাউরে
She was brave.,তিনি সাহসী ছিল,ম্লেং ম্ক্র য়াসু হিঃরেলেয়
Can you come?,তুমি কি আসতে পারবে?,লেনহেং হোলঃ?
His brother is patient.,তার ভাই ধৈর্যশীল,য়াসু আ্মা সিখেং ন্হেং রে
I am taller than you.,আমি আপনার চাইতে লম্বা,কোস্থা হ্রিরে
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন",য়াসু লেহো ছুগ্যে য়াসু গো চং ছু
This is my daughter,এই আমার মেয়ে,ঙা স্মিং
Don't worry.,কোন চিন্তা করো না,ওউই নাং ম্ছাগ্যে
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা ম্প্র য়াং? সি
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,যাচা লেং আপা লে?
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি ক্রাব আস্যা লেটেলে?
What are you doing today?,তুমি আজ কি করছ?,নাং আ্চ্যা প্যাংরেলে
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,কিজুটাংরে কিজু স্ডাং
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,আয়াং কেন্থা ফ্রপ থা
I am very happy.,আমি অত্যন্ত খুশি,আমা ঙা প্য় রেয়
I am fine.,আমি ভালো আছি,আকং ঙা হিরি
She didn't speak.,তিনি কথা বলেননি,য়াসু ম্প্রলি
Come and see me now,এসো এবং এখন আমাকে দেখতে,ঙা আ্গু গো ক্রিজং ল্লে
They got married,তারা বিয়ে করেছে,য়াস্রো ম্জেকেব্যা
This is my book,এটা আমার বই,ঙা ইচা চা ঊঃ
Have you finished?,তুমি কি শেষ করেছ?,নাঃমা ল?
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,ঙো দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র নিংড়ে
I hate you.,আমি আপনাকে ঘৃণা করি,কোগো ঙা মুংরে
I love you.,আমি তোমায় ভালোবাসি,নাক্ কো ক্রতে
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা মা টেঙা হিগ্যি ঙা লিসউ লি হো
That is very bad.,ওটা খুব খারাপ,ম্কং তিফিবাং য়াচা
It's a long story.,এটি একটি দীর্ঘ গল্প,অ্হ্রিথং ত্খু ইচা ওয়েথু
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা ওউইন্হেং টেঙা হিগ্যি ঙা লিসউ মা লি হো
Come with your family,আপনার পরিবারের সাথে আসুন,ল্লে ইংসা লা কো
It really takes time.,এটা সত্যিই সময় লাগে,ইচা অ্কংকং লুরেয়
She got angry.,সে রেগে গেল,মেং য়াসু তাউব্যা
Just a moment,শুধু একটা মুহূর্ত,ত্ছংস্যে ত্খ্যাঃসে ব্যা/
I don't speak very well.,আমি খুব ভাল কথা বলি না,ঙা চ্গা আকোং মপ্র
That's my son.,যে আমার ছেলে,ঙা য়াচা সাঃ
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,কোউরে কিজু কোগো
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,কিজু ঙা সা ঙা ম্যান্হা ঠংব নিং রে
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং মা চ্গা য়াসু ফ্ররে
Where do you want to go?,আপনি কোথায় যেতে চান?,আদো লাখ্যাং রে লে?
Do you want to come?,তুমি কি আসতে চাও?,লেখ্যাংরে নাং ল?
Where are you from?,তুমি কোথা থেকে আসছো,নাং লেটে আ্চগা লে?
I don't speak very well.,আমি খুব ভাল কথা বলি না,ঙা মপ্র চ্গা আকোং
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,ত্খু্বাং ঙা ম্রাং
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন",য়াসু লেহো ছুগ্যে য়াসু গো চং ছু
Will you teach me?,তুমি কি আমাকে শেখাবে?,হো ঙা গো সাং নাং ল?
I hate you.,আমি আপনাকে ঘৃণা করি,ঙা কোগো
It was really cheap.,এটা সত্যিই সস্তা ছিল,ইচা অ্কংকং হিলিরে এ্তেং
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?
How do you get to school?,তুমি কিভাবে স্কুলে আস?,নাং দো প্যাংব চাক্যং ম্জং লেটে লে?
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,কো য়াছাগো য়ুব ল সিক্ড়ি ত্খুমসা
This is my book,এটা আমার বই,ইচা চা ঊঃ
His mother was strict.,তার মা কঠোর ছিল,য়াসু কক্রউমন্হেং অ্মি
He avoided me.,সে আমাকে এড়িয়ে চলে,ম্রাং ঙাগো য়াসুু প্যাংব লারে
Who is that man?,ঐ লোকটি কে?,থো্চা আসুলেই
I don't speak very well.,আমি খুব ভাল কথা বলি না,ঙা চ্গা মপ্র
Where do you want to go?,আপনি কোথায় যেতে চান?,কো লাখ্যাং রে লে?
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,ম্ক্র ঙা গো ক্রোতি ল নাং ল
What are you doing today?,তুমি আজ কি করছ?,গি্নি আ্চ্যা প্যাংরেলে
Have you finished?,তুমি কি শেষ করেছ?,নাঃমা ল?
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,নাং তুইরে ঙাগো য়াং?
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,নাং লে? আস্যা ল্হেংরে ছেংবাং
Did you do your homework?,আপনি কি আপনার বাড়ির কাজ করেছেন?,কো কোরো ইং আলু
Will you come here?,তুমি কি এখানে আসবে,নাং ইদু ল?
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো লা ন্হেং হো ব্যালঃ
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,রুউ নাাক্ মা ঙা রে
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,ঙা মা ছেংবাং হ্রীব্যা এর্মা
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং হো গো ক্র ঙা ল?
I am in love.,আমি প্রেমে পড়েছি,চুই মা আখ্য
When can we eat?,আমরা কখন খেতে পারি?,ঙো চা হুলে
Can you come?,তুমি কি আসতে পারবে?,নাং লেনহেং
They praise each other,তারা একে অপরের প্রশংসা করে,ইয়াস্রু ত্যক্কো ত্যক প্রগেতে আকং
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা ঙাখ্ক ফ্রকেরে এসেএওয়ব্যে
You're so nice,আপনি খুব চমৎকার,আমা কো আ্স্যাক্যারে
Do you love me?,তুমি কি আমাকে ভালোবাসো?,ল? ঙা গো ক্রতে নাং
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,খা্গটেলে আম্যা যাচা
"No, I will eat later.","না, আমি পরে খাব",ঙা নঃউকা চাহো
You don't understand me,তুমি আমাকে বোঝো না,ঙাগো ম্নালে
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আখ্যিং আকং হিরে
I miss you.,আমার আপনাকে মনে পরছে,ঙা তোওড়ারেয় কোগো
How deep is the lake?,লেকের গভীরতা কত?,য়াক্ ম্নহ আ্নাক্ লে?
I am lost,আমি হারিয়ে গিয়েছি।,ফাব্যা প্তগক ঙা
This story is true,এই গল্প সত্য,ওয়েঠু আ্কং ইচা
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা য়াসু গো তাউতে
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা দ দ গো য়ুব আ্মা প্যরে
Whose idea is this?,এটা কার ধারণা?,ইচা ত্য়ওচা লে
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,ইউব রো ইংসা গো কো তখুমসা প্র
Did you take a shower?,তুমি কি গোসল করেছ?,নাং য়াং? খ্যুব্যা রি
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ
Her eyes were blue.,তার চোখ নীল,য়াসু ম্ক্রযাচি ক্রোং মা
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,নাগ আসু সায়াচা ব্রা্গলে?
It wasn't necessary.,এটা প্রয়োজন ছিল না,ম্হিলি আ্লো ইচা
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,আয়াং ফ্রপ আকং কেন্থা থা
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অউমিংরে
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ব্রি অ্মঃ ঙা ন্হেং রে
See you next week,পরের সপ্তাহে দেখা হবে,লেমি মা আ্তুই ক্যামে
Do you want to go?,আপনি কি যেতে চান?,লা খ্যাংরে ল?
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,নাং লে? আস্যা ল্হেংরে ছেংবাং
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,কো প্যাং কোমাকো ইচা চা য়াং?
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ত্খ্যাঃ ঙাগো
Do you need anything?,তোমার কোন কিছু দরকার?,মা ত্খুক্ ম্সা লু হো ল?
Do you live here?,তুমি কি এখানে থাকো?,নাং নিংরে য়াং?
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,য়াসু ম্যা আফা্কসা
I am a vegetarian.,আমি একজন নিরামিষভোজী,হাংম্রু মাচা
His wife is Indian.,তার স্ত্রী ভারতীয়,য়াসু ম্যা সংসা খংড
Are you feeling better?,আপনি ভাল অনুভব করছেন?,কো মা কং রে তুইরে
We want something new,আমরা নতুন কিছু চাই,ঙো অস লুরে
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু র্গু খেহো সায়ারেয়
This is my friend,এই আমার বন্ধু,ঙা আফাসা
This is my brother,এই আমার ভাই,আকোসে/ন্ঙ্যিং ঙা ইচা
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ঙাগো পি
I am trying to sleep.,আমি ঘুমানোর চেষ্টা করছি,ঙা ওইম্কেংরে
Who built that?,ঐটা কে নির্মাণ করেছিলো?,ইচা লুচা লেই?
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা চি বে নিং
Did you take a shower?,তুমি কি গোসল করেছ?,রি খ্যুব্যা য়াং?
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং ক্যামে আতুই প্রেংব
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ
"No, I will eat later.","না, আমি পরে খাব","ঙা ইন্হি, নঃউকা চাহো"
Can I help you?,আমি কি সাহায্য করতে পারি?,ঙা কুহু হোলঃ?
You're so nice,আপনি খুব চমৎকার,আমা কো আ্স্যাক্যারে
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,গ্নি নাং আচাস্যা ন্গ্যবলে?
Can I help you?,আমি কি সাহায্য করতে পারি?,কুহু ঙা নুইং হোলঃ?
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,ঙা ইচা ন্হেং ম্ক্যুং
Whose idea is this?,এটা কার ধারণা?,আসু ত্য়ওচা লে
You're so smart,আপনি খুব স্মার্ট,কো আ্মা
They are both in the room.,তারা দুজনেই রুমে আছে,ইয়াশ্রু মা ত ন্হয়চঙং হিরে
I am very happy.,আমি অত্যন্ত খুশি,আমা ঙা প্য় রেয়
This is my book,এটা আমার বই,ইচা চা ঙা ঊঃ
The house is very small.,বাড়িটা খুব ছোট,ইং অফওয়াশে এরমা
I am counting on you.,আমি তোমার উপর নির্ভর করছি,সিরিব্যা না্গকোরা ঙা
What is your destination?,আপনার গন্তব্য কি?,কো আদো লে? লারে
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ
They hit.,তারা আঘাত করেছিল,আসু বুড়েয়
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,য়াসু ক্রিরি ঙাগো আমা
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো কিজু সমস্যা হীরে
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,ইচা মি্হিলি
I am always busy.,আমি সব সময় ব্যস্ত থাকি,অ্লুমা খ্যাংখাফ্র ঙা নিংরে
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা সি য়াং?
Have you eaten?,তুমি কি খেয়েছ?,চা ব্যা ল?
His shoes are red.,তার জুতা লাল,ফ্নেং র্রে
I can't come.,আমি আসতে পারব না,ম্লেন্হেং/ ঙা লেহো ম্নংই
Have you finished?,তুমি কি শেষ করেছ?,ল? টুংব্যা নাঃমা
See you soon,শীঘ্রই আবার দেখা হবে,আতুই প্রেংব আয়ং ক্যামে
She didn't speak.,তিনি কথা বলেননি,ম্প্রলি চাগা য়াসু
Her smile was good.,তার হাসি ভাল ছিল,য়াসু হ্লারে রেছা
"No, I will eat later.","না, আমি পরে খাব","চাহো ঙা নঃউকা ইন্হি,"
I am happy to see you.,তোমাকে দেখে খুসি হলাম,না্ককো ঙা আ্মা হাউরে
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,চ্গা এসেই প্র
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,আতেং মি্হিলি
I am happy to see you.,তোমাকে দেখে খুসি হলাম,ক্রিব ঙা আ্মা হাউরে
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা ব ত্খুবাং আম্হা
Just a moment,শুধু একটা মুহূর্ত,ব্যা/ ত্ছংস্যে ত্খ্যাঃসে
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কিজু জালেরে কোগো খোওং হ্রুওয়ে
I don't speak very well.,আমি খুব ভাল কথা বলি না,আকোং ঙা চ্গা মপ্র
Do you understand?,তুমি কি বুঝতে পেরেছো?,নালেরি নাং? ল
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং ইংচা প্রহো ল
What can I do for you?,আমি আপনার জন্য কি করতে পারি?,ঙা কো কিজু আ্চা প্যাংন্হেং
You should sleep,তোমার তো ঘুমানো উচিত,নাং গা ওউই রাহো টেং ব্যা রে
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা রেব্যা
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো হীরে এর্মা সমস্যা কিজু
I love you.,আমি তোমায় ভালোবাসি,ক্রতে নাক্ কো ঙা
His voice was soft.,তার কণ্ঠ নরম ছিল,আসেং য়াসু ঙন্যে
Why did you leave?,তুমি কেন ছেড়ে দিলে,ফ্রুল আস্যা নাং টিলে?
This bird can't fly,এই পাখি উড়তে পারে না,ন্হাক্ ম্প্যেংন্হেং
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,সাগ্রী সৌ লে আগু রারে ল?
Can you come?,তুমি কি আসতে পারবে?,নাং হোলঃ?
I am looking for a room.,আমি একটি রুম খুঁজছি,ত ঙা ত্দ হ্রারে
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,য়াছাগো কো য়ুব ত্খুমসা সিক্ড়ি ল
When was he born?,সে কখন জন্মেছিল?,জা্খা মুইংরে লে?
They are both in the room.,তারা দুজনেই রুমে আছে,ইয়াশ্রু ন্হয়চঙং হিরে মা ত
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,কো তখ্যাগ আলাউগ পি
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,ইচা মি্হিলি আতেং
I have no idea,আমার কোন ধারণা নাই,ঙা ত্খোবাং
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু ত্যঃ ছ্রামা/চাখ্যাসা
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,ঙা মা ছেংবাং হ্রীব্যা
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা কো অ্কংকং অউমিংরে
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন",য়াসু লেহো ছুগ্যে য়াসু গো ছু ল
Are you crazy?,তুমি কি পাগল?,নাং আরোউ
It was a very big room,এটি একটি খুব বড় রুম ছিল,য়াচা ত আ্সেং হিলিরে
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,বাস মা ল ট্রন মা ল?
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,ছিক্রিসামা/ডাওঃতমা ম্যা ঙা
How do you get to school?,তুমি কিভাবে স্কুলে আস?,চাক্যং ম্জং প্যাংব নাং দো লেটে লে?
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,ঙা মিং টখও নাগকো ন্হেং হো ল?
They stopped talking,তাদের কথা বলা বন্ধ,মা চ্গা তুংব্যা
Please go to school.,অনুগ্রহ করে স্কুলে যান,চা ক্যাং লালি দু
He praised him.,সে তাকে তারিফ করেছিল,য়াসু অ্কং ঠুসুগো প্রবঃয়ে
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,ঙা ছিক্রিসামা/ডাওঃতমা
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,নাং ইংসা রোনা ম্জং লে?
She was brave.,তিনি সাহসী ছিল,য়াসু ম্ক্র হিঃরেলেয় ম্লেং
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা অউমিংরে কো অ্কংকং নাক্
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা য়ুব দ দ গো ঙো আ্মা প্যরে
I can do this.,আমি এই কাজ করতে পারি,ঙা ই ন্হেংরে লু অ্লুঃ
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ইচাগো য়ুব ছাংখ্রাহো পি
Don't worry.,কোন চিন্তা করো না,ম্ছাগ্যে ওউই নাং
Do you understand?,তুমি কি বুঝতে পেরেছো?,ল নাং?
This is not a joke,এটি তামাশা না,ইচা ম্হক্
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,আহ্লামা জামালেই?
Are you serious?,তুমি কি সিরিয়াস?,নাং আম্হেং
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,কো ঙাগো ত্খ্যাক্ কু হো ল?
Why didn't you come in?,তুমি ভিতরে আসো না কেন?,নাং আস্যা আথিদো ম্ওয়ংলে?
I am sorry.,আমি দুঃখিত,ঙা হ্রুওয়ে খোয়ং গো
Do you smoke?,তুমি কি ধুমপান কর,ছুঁইলি নাং সউতে ল?
This is my brother,এই আমার ভাই,আকোসে/ন্ঙ্যিং ঙা ইচা
Let me see.,আমাকে দেখতে দাও,ঙা ক্রিহো পি
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,রো নাং ইংসারো ম্জং হিরিলে
I am trying to sleep.,আমি ঘুমানোর চেষ্টা করছি,ঙা ওইম্কেংরে
Do you need anything?,তোমার কোন কিছু দরকার?,নাক্ লু ত্খুক্ ম্সা মা হো ল?
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা ই খাঃলে মা আ্লু হীরে
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা হোলঃ? কুহু নুইং নাঃকো
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,ই্য়াগসু প্ররিল প্যাংরা আচা না্গকো হোলে
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,যাচা খা্গটেলে আম্যা
She didn't speak.,তিনি কথা বলেননি,য়াসু চাগা
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,নাগ সায়াচা ব্রা্গলে? আসু
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ব প্যহারে
This river is beautiful,এই নদী সুন্দর,খ্যং হ্লারে
That's my son.,যে আমার ছেলে,য়াচা ঙা
She didn't speak.,তিনি কথা বলেননি,ম্প্রলি চাগা য়াসু
They hit.,তারা আঘাত করেছিল,আসু বুড়েয়
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,কেন্থা আকং ফ্রপ থা
"No, I will eat later.","না, আমি পরে খাব","ইন্হি, ঙা চাহো নঃউকা"
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কিজু কিজুতাংবারে
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব",মু রু্ওয়ারে ঙো মু চু্ওয়েকেহো ব্যা
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,ই্য়াগসু প্ররিল না্গকো প্যাংরা আচা হোলে
How deep is the lake?,লেকের গভীরতা কত?,য়াক্ ম্নহ আ্নাক্ লে?
I don't like it,আমি এটা পছন্দ করি না,ঙা ইচা মা্সায়া
It's a long story.,এটি একটি দীর্ঘ গল্প,ইচা ত্খু ওয়েথু
I am not a teacher.,আমি একজন শিক্ষক নই,ঙা চা খ্যাসা ম্হ
What was the word for?,শব্দটা কিসের ছিল?,য়াচা লে? আ্সেং আ্চা
We can change,আমরা পরিবর্তন করতে পারি,ঙো ল্হি রে
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,মো লি প্পপাং হ্লিরি পয়াংব
Where do you want to go?,আপনি কোথায় যেতে চান?,কো আদো রে লাখ্যাং লে?
Can I open the door?,আমি কি দরজা খুলতে পারি?,ঙা তৈংখা হ ল?
I have no idea,আমার কোন ধারণা নাই,ত্খোবাং ঙা মি্সি
His shoes are red.,তার জুতা লাল,য়াসু র্রে
I am taller than you.,আমি আপনার চাইতে লম্বা,কোস্থা হ্রিরে
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,য়াসু ঙা আফা্কসা
What can I do for you?,আমি আপনার জন্য কি করতে পারি?,ঙা কো কিজু আ্চা হুলে
I love you.,আমি তোমায় ভালোবাসি,ঙা নাক্ ক্রতে কো
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো এর্মা কিজু সমস্যা হীরে
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,য়াসু ঙাগো ক্রিরি
I am lost,আমি হারিয়ে গিয়েছি।,ঙা ফাব্যা
Can she run fast?,সে দ্রুত দৌড়াতে পারে,য়াসু নহেং ব্রি অম্ রেয়
Are you crazy?,তুমি কি পাগল?,নাং ল
I am lost,আমি হারিয়ে গিয়েছি।,ঙা প্তগক
He praised him.,সে তাকে তারিফ করেছিল,য়াসু ঠুসুগো অ্কং
How deep is the lake?,লেকের গভীরতা কত?,য়াক্ ওয়েই আ্নাক্ লে?
I'm crazy with you.,আমি তোমার সাথে পাগল,ব নাক্ লা ঙা রুউরে
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,রুইহুলে? জ্যখা গং নং
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু হা্কচা রিখ্যং ফুওয়ে
She was alone.,তিনি একা ছিলেন,য়াঃসু হিঃরেলেয় খ্যাং নুং
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু রিখ্যং আ্মা হা্কচা ফুওয়ে
See you next year,সামনের বছর দেখা হবে,লেমে ক্যামে মা আ্তুই ন্হক্
This is my daughter,এই আমার মেয়ে,ইচা স্মিং ঙা
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং জ্যখা রুইহুলে?
They hit.,তারা আঘাত করেছিল,বুড়েয় আসু লে?
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,চাগা ঙা নাং ক্রারেয় ল?
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা আ্মা দ দ গো য়ুব ঙো প্যরে
See you tomorrow,আগামীকাল দেখা হবে,ফ্রেং আতুই ক্যামে
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,আপা লেং লে?
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা ই খাঃলে আ্মা আ্লু হীরে
I can't stop.,আমি থামতে পারি না,ঙা ম্টে টেংহো
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ মা ই হো লু চাক্উঃ ল?
Can she run fast?,সে দ্রুত দৌড়াতে পারে,অম্ ব্রি নহেং রেয়
What can I do for you?,আমি আপনার জন্য কি করতে পারি?,ঙা কো কিজু আ্চা প্যাংন্হেং
Will you come here?,তুমি কি এখানে আসবে,নাং ইদু ল?
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা ত্খুবাং ব আম্হা মিহি
Whose idea is this?,এটা কার ধারণা?,ত্য়ওচা আসু ইচা লে
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ইংমা নিং ল?
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মু রু্ওয়ারে ব্যা ঙো মু চু্ওয়েকেহো ছুগ্যে,"
We can change,আমরা পরিবর্তন করতে পারি,ন্হেং ল্হি ঙো রে
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ইংমা নিং হো
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
I am looking for a room.,আমি একটি রুম খুঁজছি,হ্রারে ত ত্দ ঙা
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ম্রাং ব
What can I say?,আমি কি বলতে পারি?,ন্হেং প্র ঙা হোলঃ?
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,ঙা ম্রাং
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,ঙা থি ন্হেং হোলঃ?
They have some books,তাদের কিছু বই আছে,য়াস্রোু চাঊঃ ল্য়ংক্খো হিরি
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা আস্যা লেটেলে?
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?
I am busy right now.,আমি এই মুহূর্তে ব্যস্ত,অ্লুমা অ্গো ঙা
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা ই খাঃলে মা আ্লু হীরে
I hate you.,আমি আপনাকে ঘৃণা করি,মুংরে কোগো ঙা
It's a long story.,এটি একটি দীর্ঘ গল্প,ইচা অ্হ্রিথং ওয়েথু
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,নাং ছেংবাং লে? ল্হেংরে আস্যা
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আহ্লা আখ্যিং
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,য়াং? চ্গা ম্প্র সি কো
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,কো ম্রাং ব্যা ল?
You should sleep,তোমার তো ঘুমানো উচিত,নাং গা রাহো টেং রে ব্যা
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,ই পুখ্যিংমা হো।
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা ঙো দ দ য়ুব আ্মা প্যরে
