English,Bangla,Marma,label
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং গ্নি ন্গ্যবলে? আচাস্যা,neg
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,কিজু আওকং এর্মা সমস্যা হীরে,neg
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,ঙা ছিক্রিসামা/ডাওঃতমা,ntr
How can I help you?,আমি কীভাবে তোমাকে সাহায্য করতে পারি?,ঙা নাকো মজং প্যাংবো হোলে?,pos
Do you love me?,তুমি কি আমাকে ভালোবাসো?,নাং ঙা গো ক্রতে ল?,pos
I am a vegetarian.,আমি একজন নিরামিষভোজী,হাংম্রু ঙা মাচা,ntr
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?,ntr
Please give me the bill,দয়া করে বিল দিন।,পিন্হেং ট্খ্যা বিল হুলো?,pos
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,জ্যখা গং রুইহুলে?,neg
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,য়াসু চ্গা ম্নাথংলি,neg
I hate you.,আমি আপনাকে ঘৃণা করি,ঙা মুংরে,neg
Just a moment,শুধু একটা মুহূর্ত,ব্যা/ ত্ছংস্যে ত্খ্যাঃসে,ntr
When was he born?,সে কখন জন্মেছিল?,য়াসু লে? মুইংরে জা্খা,ntr
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,মা বাস ইয়াউসু ল ট্রন মা ল?,ntr
I can't stop.,আমি থামতে পারি না,ঙা টেংহো,pos
That is very bad.,ওটা খুব খারাপ,য়াচা তিফিবাং,neg
You made me happy,তুমি আমাকে খুশি করেছো,নাং ঙা গো পিরে,pos
She was alone.,তিনি একা ছিলেন,য়াঃসু নুং খ্যাং,neg
When can we eat?,আমরা কখন খেতে পারি?,জা্খা চা হুলে,ntr
Can I eat this?,আমি কি এটা খেতে পারি?,ঙা ইচা চা হোলঃ?,ntr
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,কো কোমাকো ইচা প্যাং চা য়াং?,ntr
This is my book,এটা আমার বই,ইচা ঙা ঊঃ,ntr
No one was in the garden,বাগানে কেউ ছিল না,য়ইং মা ত্যক্পাং,neg
I'm crazy with you.,আমি তোমার সাথে পাগল,ঙা নাক্ লা রুউরে,neg
This river is beautiful,এই নদী সুন্দর,ই হ্লারে খ্যং,pos
Can you come?,তুমি কি আসতে পারবে?,নাং হোলঃ? লেনহেং,ntr
He praised him.,সে তাকে তারিফ করেছিল,য়াসু প্রবঃয়ে অ্কং ঠুসুগো,pos
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ মা নারেলে,neg
The dog is dead,কুকুরটি মারা গেছে,য়া খুই ফাব্যা সিই,neg
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা,ntr
What are you doing today?,তুমি আজ কি করছ?,আ্চ্যা গি্নি নাং প্যাংরেলে,ntr
It's so cheap,এটা খুব সস্তা,ইচা এর্মা আঁটেং,ntr
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং গ্নি ন্গ্যবলে?,neg
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,নাং ঙাগো য়াং?,ntr
It's nice to meet you,তোমার সাথে দেখা করে ভালো লাগলো,কংহারে লা আতুই খেংব নাং,pos
They're good people,তারা ভালো মানুষ,য়াস্রু আঁকং লু,pos
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,থি কোগো ঙা ন্হেং হোলঃ?,pos
I don't understand,আমি বুঝতে পারছি না।,ঙা ম্নালে,ntr
Have a nice day.,আপনার দিনটি শুভ হোক,রা্ক আকং ফ্রলি,pos
I am lost,আমি হারিয়ে গিয়েছি।,ঙা ফাব্যা,neg
How are you?,আপনি কেমন আছেন,আকং হিঃরিল?,ntr
Can I open the door?,আমি কি দরজা খুলতে পারি?,হ তৈংখা ল্হন্হেং ঙা ল?,ntr
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,ইংচা প্রহো তেংহো ল,neg
They stopped talking,তাদের কথা বলা বন্ধ,য়াসু তুংব্যা চ্গা মা,neg
Where does it hurt?,এটা কোথায় ব্যাথা করে?,লে? আড়া মা জা নাড়ে,neg
It was really cheap.,এটা সত্যিই সস্তা ছিল,অ্কংকং এ্তেং হিলিরে,ntr
Have a lot of money,অনেক টাকা আছে,এর্মা হীরে টেঙা,ntr
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ আফা/ বাবা হিরে,ntr
She got angry.,সে রেগে গেল,য়াসু তাউব্যা,neg
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,য়াসু ঙাচা থা ন্হপ্রেং সেংরে,ntr
I have no idea,আমার কোন ধারণা নাই,ত্খোবাং মি্সি,neg
I am happy to see you.,তোমাকে দেখে খুসি হলাম,না্ককো ক্রিব আ্মা হাউরে,pos
She got angry.,সে রেগে গেল,য়াসু তাউব্যা,neg
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু আ্ফা রে ম্রাং ররেখে,pos
I am going to study.,আমি পড়াশোনা করতে যাচ্ছি,চা ফেচং লারেয়,ntr
She didn't speak.,তিনি কথা বলেননি,চাগা য়াসু ম্প্রলি,ntr
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,জ্খা আলু তুংরে লে?,ntr
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু ঙন্যে হিলিরে,pos
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা নাঃকো কুহু নুইং হোলঃ?,pos
Don't talk about work,কাজের কথা বলবেন না,ম্প্রগ্যে চ্গাগো অ্লু,ntr
Have a nice time.,একটি সুন্দর সময় আছে,আহ্লা আখ্যিং হিরে,pos
You're so smart,আপনি খুব স্মার্ট,কো পইংঞাস্যাং,pos
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,আলু য়াসু ম্লুলি,neg
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা ঙো দ গো য়ুব আ্মা প্যরে,pos
This decision is final,এই সিদ্ধান্ত চূড়ান্ত,ইচা আটুং চা্গা,ntr
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মু ছুগ্যে, ঙো মু চু্ওয়েকেহো ব্যা",ntr
I am sorry.,আমি দুঃখিত,গো খোয়ং হ্রুওয়ে,neg
She got angry.,সে রেগে গেল,য়াসু মেং তাউব্যা,neg
I am very happy.,আমি অত্যন্ত খুশি,ঙা আমা প্য়,pos
I miss you.,আমার আপনাকে মনে পরছে,কোগো তোওড়ারেয়,neg
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ মা আডে,neg
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?,ntr
Thank you very much,তোমাকে অনেক ধন্যবাদ,নাক্ কো আ্মা রে,pos
It was very difficult.,এটা খুব কঠিন ছিল,ইচা খাঃখ্যে লিরে,neg
Do you need anything?,তোমার কোন কিছু দরকার?,নাক্ ল? ত্খুক্ ম্সা লু হো মা,ntr
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে,pos
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,আমা ঙো স্দি ফ্রোরাহু,pos
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু ছ্রামা/চাখ্যাসা মা,ntr
That's my son.,যে আমার ছেলে,ঙা সাঃ,ntr
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং ন্গ্যবলে?,neg
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং য়াসু চ্গা ফ্ররে,pos
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,ম্যা য়াসু ঙা আফা্কসা,pos
We can change,আমরা পরিবর্তন করতে পারি,ঙো ল্হি ন্হেং রে,ntr
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো ম্জং প্য়াংব হোলে?,pos
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ইচা আ্কং আ্ত্যগ্,pos
This is not a joke,এটি তামাশা না,ইচা স্যইংচা,neg
I miss you.,আমার আপনাকে মনে পরছে,ঙা তোওড়ারেয় কোগো,neg
The house is very small.,বাড়িটা খুব ছোট,ইং অফওয়াশে এরমা,ntr
I don't like it,আমি এটা পছন্দ করি না,ইচা ঙা,neg
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,কো তখ্যাগ পি,pos
I am ready to start.,আমি শুরু করতে প্রস্তুত,ন্হেং চা ঙা রেব্যা,pos
Will you stay home?,তুমি কি বাড়িতে থাকবে,ইংমা নিং হো ল?,ntr
She was brave.,তিনি সাহসী ছিল,ম্ক্র ম্লেং হিঃরেলেয়,pos
That is very bad.,ওটা খুব খারাপ,য়াচা ম্কং,neg
His house is very tall.,তার বাড়ি অনেক লম্বা,য়াসু এরমা ইং আহ্রি,ntr
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং ঙা গো ক্র হো ল?,pos
His shoes are red.,তার জুতা লাল,য়াসু ফ্নেং র্রে,ntr
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে কিজু খোওং,neg
No one was in the garden,বাগানে কেউ ছিল না,য়ইং মা,neg
I can't stop.,আমি থামতে পারি না,ঙা ম্টে টেংহো,pos
You are a good teacher.,তুমি একজন ভালো শিক্ষক,নাং আকং ছ্রাসি,pos
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,ম্হ্রচা কিজু,pos
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ অ্কংকং,neg
I am very sorry.,আমি খুবই দুঃখিত,গা ঙা হ্রুওয়ে,neg
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,আকং ইংমাউ য়াসু ফ্ররে,pos
Her smile was good.,তার হাসি ভাল ছিল,হ্লারে য়াসু রেছা,pos
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,পয়াংব লি প্পপাং মো হ্লিরি,ntr
She got angry.,সে রেগে গেল,য়াসু মেং,neg
It was really cheap.,এটা সত্যিই সস্তা ছিল,অ্কংকং ইচা এ্তেং হিলিরে,ntr
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা য়াসু গো তাউতে,neg
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,আয়াং কেন্থা আকং ফ্রপ থা,pos
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা কো অ্কংকং অউমিংরে,neg
I am sorry.,আমি দুঃখিত,গো খোয়ং,neg
I am very happy.,আমি অত্যন্ত খুশি,ঙা আমা রেয়,pos
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্রাংরা রে ব্যা।,pos
Don't worry.,কোন চিন্তা করো না,নাং ওউই ম্ছাগ্যে,pos
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু আসেং হিলিরে,pos
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,ইচা ম্ক্যুং ন্হেং,ntr
This is my friend,এই আমার বন্ধু,ঙা ইচা আফাসা,pos
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,কিজুটাংরে কিজু ম্হ্রচা,pos
Are you feeling better?,আপনি ভাল অনুভব করছেন?,কো মা কং রে তুইরে ল?,pos
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,ই হো। প্য পুখ্যিংমা,pos
I trust you.,আমি তোমাকে বিশ্বাস করি,রে না্ক কো ক্যুং ঙা,pos
I don't like it,আমি এটা পছন্দ করি না,ইচা ঙা,neg
Why did you leave?,তুমি কেন ছেড়ে দিলে,নাং টিলে? আস্যা ফ্রুল,neg
Where are you from?,তুমি কোথা থেকে আসছো,নাং আ্চগা লেটে লে?,ntr
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,নাং ইংসা রোনা ম্জং লে?,ntr
I miss you.,আমার আপনাকে মনে পরছে,তোওড়ারেয় কোগো ঙা,neg
I am a vegetarian.,আমি একজন নিরামিষভোজী,ঙা মাচা হাংম্রু,ntr
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,য়াসু ত থা ন্হপ্রেং সেংরে,ntr
Just a moment,শুধু একটা মুহূর্ত,ব্যা/ ত্খ্যাঃসে,ntr
They praise each other,তারা একে অপরের প্রশংসা করে,ইয়াস্রু ত্যক আকং প্রগেতে,pos
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,হ্রুওয়ে কোগো জালেরে খোওং কিজু ঙা,neg
You're so smart,আপনি খুব স্মার্ট,আ্মা কো পইংঞাস্যাং,pos
Where does it hurt?,এটা কোথায় ব্যাথা করে?,জা আড়া মা নাড়ে লে?,neg
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা ম্প্র সি য়াং?,ntr
Are you feeling better?,আপনি ভাল অনুভব করছেন?,কো মা কং তুইরে ল?,pos
Please give me the bill,দয়া করে বিল দিন।,ট্খ্যা পিন্হেং বিল,pos
Have you finished work?,তুমি কি কাজ শেষ করেছ?,নাং মা টুংগব্যায়াং?,ntr
I am ready to start.,আমি শুরু করতে প্রস্তুত,চা ন্হেং,pos
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অউমিংরে,neg
She was alone.,তিনি একা ছিলেন,য়াঃসু খ্যাং,neg
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো প্য়াংব কোওন্হেং হোলে?,pos
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,ল ইংচা নাং তেংহো প্রহো,neg
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,হব্যা সেব্ল য়াসু ল?,neg
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ঙাখ্ক ইলামা এসেএওয়ব্যে ফ্রকেরে,neg
Which team will win the game?,খেলা কোন দল জিতবে?,খ্যলা আসু অংহো?,pos
This story is true,এই গল্প সত্য,ইচা আ্কং ওয়েঠু,pos
It was nice to meet you,তোমার সাথে দেখা হয়ে ভালো লাগলো।,না্ক লে আতুই কং হারে,pos
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং ক্র গো ঙা হো ল?,pos
Where does it hurt?,এটা কোথায় ব্যাথা করে?,লে? আড়া মা নাড়ে জা,neg
Have you finished?,তুমি কি শেষ করেছ?,নাঃমা ল? টুংব্যা,ntr
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা ঙো দ দ গো য়ুব আ্মা প্যরে,pos
How are you?,তোমার কী অবস্থা,নাং ম্জংহীরে লে,ntr
Do you need anything?,তোমার কোন কিছু দরকার?,নাক্ মা ত্খুক্ ম্সা হো ল?,ntr
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,খা্গটেলে আম্যা যাচা,ntr
I can do this.,আমি এই কাজ করতে পারি, ঙা ই অ্লুঃ লু ন্হেংরে,ntr
I am looking for a room.,আমি একটি রুম খুঁজছি,ত্দ ত ঙা হ্রারে,ntr
The dog is dead,কুকুরটি মারা গেছে,য়া খুই সিই ফাব্যা,neg
Do you want to come?,তুমি কি আসতে চাও?,নাং ল? লেখ্যাংরে,pos
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,কো ইচা কোমাকো প্যাং চা,ntr
She started running.,সে দৌড়াতে শুরু করল,চাঃব্যা ব্রিইহো য়াসু,ntr
This is not a joke,এটি তামাশা না,ইচা স্যইংচা,neg
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ আডে নারেলে মা,neg
I have no idea,আমার কোন ধারণা নাই,ত্খোবাং মি্সি,neg
We need some money,আমাদের কিছু টাকা দরকার,টেঙা তে্কে লুরে,ntr
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,নাং আস্যা ছেংবাং ল্হেংরে লে?,ntr
Please do that again.,দয়া করে সেটা আবার করুন,অরঃ ত্খ্যাঃ ত্ব্রেং প্যাংলঃ মে,pos
I am ready to start.,আমি শুরু করতে প্রস্তুত,চা ঙা ন্হেং রেব্যা,pos
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্যাকন্হামা ম্রাংরা রে ব্যা।,pos
You are so brave,আপনি খুব সাহসী,নাং ত্ফি ব্যাং ম্ক্রক্,pos
When was he born?,সে কখন জন্মেছিল?,জা্খা য়াসু মুইংরে লে?,ntr
This river is beautiful,এই নদী সুন্দর,ই হ্লারে,pos
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা,ntr
Please give me the bill,দয়া করে বিল দিন।,বিল ট্খ্যা পিন্হেং হুলো?,pos
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা নিং বে,pos
Which team will win the game?,খেলা কোন দল জিতবে?,খ্যলা অংহো?,pos
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,রুইহুলে? জ্যখা গং নং,neg
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,ফ্ররে মিটিং য়াসু চ্গা মা,pos
She was brave.,তিনি সাহসী ছিল,য়াসু ম্ক্র ম্লেং হিঃরেলেয়,pos
I don't like it,আমি এটা পছন্দ করি না,ইচা মা্সায়া,neg
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,সেব্ল ঙাগো য়াসু হব্যা ল?,neg
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু খেহো আমা সায়ারেয়,pos
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা ব ত্খুবাং আম্হা মিহি,pos
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ই ওয়েইং মা এর্মা ঙাঃ হিরিরে,ntr
I can't stop.,আমি থামতে পারি না,ম্টে টেংহো ঙা,pos
I love you.,আমি তোমায় ভালোবাসি,ঙা নাক্ ক্রতে কো,pos
Why did you leave?,তুমি কেন ছেড়ে দিলে,ফ্রুল টিলে?,neg
We want something new,আমরা নতুন কিছু চাই,ঙো অস টখুমসা,pos
I am fine.,আমি ভালো আছি,আকং ঙা হিরি,pos
Will he come?,সে কি আসবে?,সু লেহুঁ ল,ntr
She was alone.,তিনি একা ছিলেন,য়াঃসু হিঃরেলেয় খ্যাং নুং,neg
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ নারেলে আডে মা,neg
I am going to study.,আমি পড়াশোনা করতে যাচ্ছি,চা ঙা ফেচং লারেয়,ntr
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু মা ছ্রামা/চাখ্যাসা ত্যঃ,ntr
They are both in the room.,তারা দুজনেই রুমে আছে,ইয়াশ্রু হিরে ত মা ন্হয়চঙং,ntr
You are so brave,আপনি খুব সাহসী,নাং ত্ফি ম্ক্রক্,pos
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আকং হিরে,pos
I am happy to see you.,তোমাকে দেখে খুসি হলাম,না্ককো ক্রিব ঙা আ্মা হাউরে,pos
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,গ্নি নাং খরুইকা ক্রাব আস্যা লেটেলে?,ntr
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু রে ম্রাংরা ম্যাকন্হামা ব্যা।,pos
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ব্রি অ্মঃ ঙা ন্হেং রে,ntr
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে,pos
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা কো অ্কংকং অউমিংরে,neg
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা এসেএওয়ব্যে,neg
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,য়াসু ম্নাথংলি,neg
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,এসেই চ্গা প্র,pos
I have no idea,আমার কোন ধারণা নাই,ত্খোবাং ঙা মি্সি,neg
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ঙাগো পি,pos
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে,pos
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,ইংমাউ আকং ফ্ররে,pos
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা এসেএওয়ব্যে,neg
I am very happy.,আমি অত্যন্ত খুশি,আমা প্য় রেয়,pos
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং কিজু হীরে সমস্যা এর্মা,neg
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে খোওং,neg
She was alone.,তিনি একা ছিলেন,য়াঃসু খ্যাং হিঃরেলেয়,neg
He goes to school.,সে স্কুলে যায়,য়াসু চাক্যংদো লারে,ntr
You're so nice,আপনি খুব চমৎকার,আমা আ্স্যাক্যারে,pos
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো ম্জং প্য়াংব কোওন্হেং হোলে?,pos
I am very happy.,আমি অত্যন্ত খুশি,ঙা প্য় আমা রেয়,pos
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা দ দ গো য়ুব আ্মা প্যরে,pos
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,ঙো আমা স্দি ফ্রোরাহু,pos
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো লা ন্হেং হো ব্যালঃ,pos
Where do you want to go?,আপনি কোথায় যেতে চান?,কো আদো লাখ্যাং রে লে?,pos
It was a very big room,এটি একটি খুব বড় রুম ছিল,য়াচা ত এর্মা আ্সেং হিলিরে,ntr
We cook every day,আমরা প্রতিদিন রান্না করি,ঙো নিংদৈং তে,ntr
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু আ্ফা ররেখে রে,pos
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,গো ঙা নাং ক্রোতি ল ম্ক্র ল,pos
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা গো মেং তাউতে,neg
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,হ্রুওয়ে কোগো জালেরে কিজু খোওং ঙা,neg
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে,pos
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু হা্কচা আ্মা রিখ্যং ফুওয়ে,pos
How are you?,তোমার কী অবস্থা,ম্জংহীরে নাং লে,ntr
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ,ntr
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,আ্মা রিচা য়াসু আহ্লা,pos
I am busy right now.,আমি এই মুহূর্তে ব্যস্ত,ঙা অ্লুমা,ntr
It was very difficult.,এটা খুব কঠিন ছিল,ইচা লিরে,neg
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং য়াসু মা চ্গা ফ্ররে,pos
It's nice to see you,তোমাকে দেখে ভাল লাগলো,প্যহারে কো ম্রাং ব নাক্,pos
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা নুইং কুহু নাঃকো হোলঃ?,pos
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা ই খাঃলে আ্মা আ্লু হীরে,ntr
I have no idea,আমার কোন ধারণা নাই,ঙা ত্খোবাং,neg
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং কিজু এর্মা হীরে সমস্যা,neg
Can I help you?,আমি কি সাহায্য করতে পারি?,ঙা নুইং হোলঃ?,pos
This decision is final,এই সিদ্ধান্ত চূড়ান্ত,ইচা চা্গা আটুং,ntr
That is very bad.,ওটা খুব খারাপ,য়াচা ম্কং,neg
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,কোগো জালেরে খোওং কিজু হ্রুওয়ে,neg
This is my friend,এই আমার বন্ধু,ইচা ঙা,pos
I can't stop.,আমি থামতে পারি না,ঙা ম্টে,pos
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,ই পুখ্যিংমা প্য হো।,pos
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মু রু্ওয়ারে ছুগ্যে, ঙো চু্ওয়েকেহো ব্যা",ntr
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং সমস্যা হীরে এর্মা প্যাংহো কিজু,neg
I am sorry.,আমি দুঃখিত,ঙা খোয়ং হ্রুওয়ে,neg
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ল? নিং হো ইংমা,ntr
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,তুংরে জ্খা আলু কোমা লে?,ntr
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ,ntr
I'm crazy with you.,আমি তোমার সাথে পাগল,নাক্ লা ব রুউরে,neg
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু হব্যা সেব্ল ঙাগো ল?,neg
Her smile was good.,তার হাসি ভাল ছিল,হ্লারে রেছা য়াসু,pos
You're so nice,আপনি খুব চমৎকার,আমা কো আ্স্যাক্যারে,pos
It really takes time.,এটা সত্যিই সময় লাগে,অ্কংকং ইচা আখ্যিং লুরেয়,ntr
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু র্গু আমা সায়ারেয়,pos
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং জ্যখা গং রুইহুলে?,neg
Don't worry.,কোন চিন্তা করো না,নাং ম্ছাগ্যে,pos
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,নাং রো ম্জং হিরিলে,ntr
She was alone.,তিনি একা ছিলেন,য়াঃসু নুং খ্যাং হিঃরেলেয়,neg
You're so nice,আপনি খুব চমৎকার,আ্স্যাক্যারে আমা কো,pos
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র ইংমা নিংড়ে,ntr
Just a moment,শুধু একটা মুহূর্ত,ব্যা/ ত্খ্যাঃসে,ntr
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ইচা ত্খোঃ আ্ত্যগ্ আ্কং,pos
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ম্রাং ব প্যহারে,pos
Can you come?,তুমি কি আসতে পারবে?,নাং লেনহেং হোলঃ?,ntr
Why are you late?,তোমার দেরী হল কেন?,নাং ক্রাফালে? আস্যা,ntr
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,অ্যালুলুকেহু ত্লামা ইয়াসরু মনে গেড়ে,pos
He avoided me.,সে আমাকে এড়িয়ে চলে,ঙাগো ম্রাং প্যাংব লারে,neg
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু ম্রাং য়াসু ছুই আথাউমা খুংব তাউরে,ntr
How are you?,তোমার কী অবস্থা,লে ম্জংহীরে নাং,ntr
I love you.,আমি তোমায় ভালোবাসি,ঙা নাক্ কো ক্রতে,pos
Will you teach me?,তুমি কি আমাকে শেখাবে?,হো ঙা গো সাং নাং ল?,ntr
I don't speak very well.,আমি খুব ভাল কথা বলি না,চ্গা আকোং ঙা,neg
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,কোগো জালেরে কিজু খোওং,neg
I don't speak very well.,আমি খুব ভাল কথা বলি না,আকোং মপ্র চ্গা ঙা,neg
